edge_eye, inout, hdmi_sda
Line_Shift_RAM_1Bit, output, taps1x
Line_Shift_RAM_1Bit, output, shiftout
VIPMOD_Matrix_Generate_3X3_1Bit, input, clk
VIPMOD_Matrix_Generate_3X3_1Bit, input, rst_n
VIPMOD_Matrix_Generate_3X3_1Bit, input, per_frame_vsync
VIPMOD_Matrix_Generate_3X3_1Bit, input, per_frame_href
VIPMOD_Matrix_Generate_3X3_1Bit, input, per_frame_clken
VIPMOD_Matrix_Generate_3X3_1Bit, input, per_img_Bit
VIPMOD_Matrix_Generate_3X3_1Bit, output, matrix_frame_vsync
VIPMOD_Matrix_Generate_3X3_1Bit, output, matrix_frame_href
VIPMOD_Matrix_Generate_3X3_1Bit, output, matrix_frame_clken
VIPMOD_Matrix_Generate_3X3_1Bit, output, matrix_p11
VIPMOD_Matrix_Generate_3X3_1Bit, output, matrix_p12
VIPMOD_Matrix_Generate_3X3_1Bit, output, matrix_p13
VIPMOD_Matrix_Generate_3X3_1Bit, output, matrix_p21
VIPMOD_Matrix_Generate_3X3_1Bit, output, matrix_p22
VIPMOD_Matrix_Generate_3X3_1Bit, output, matrix_p23
VIPMOD_Matrix_Generate_3X3_1Bit, output, matrix_p31
VIPMOD_Matrix_Generate_3X3_1Bit, output, matrix_p32
VIPMOD_Matrix_Generate_3X3_1Bit, output, matrix_p33
bit_erosion, input, clk
bit_erosion, input, rst_n
bit_erosion, input, per_frame_vsync
bit_erosion, input, per_frame_href
bit_erosion, input, per_frame_clken
bit_erosion, input, per_img_Bit
bit_erosion, output, post_frame_vsync
bit_erosion, output, post_frame_href
bit_erosion, output, post_frame_clken
bit_erosion, output, post_img_Bit
bit, input, clk
bit, input, rst_n
bit, input, per_frame_vsync
bit, input, per_frame_href
bit, input, per_frame_clken
bit, input, per_img_Bit
bit, output, post_frame_vsync
bit, output, post_frame_href
bit, output, post_frame_clken
bit, output, post_img_Bit
VIPMOD_Bit_Erosion_Detector, input, clk
VIPMOD_Bit_Erosion_Detector, input, rst_n
VIPMOD_Bit_Erosion_Detector, input, per_frame_vsync
VIPMOD_Bit_Erosion_Detector, input, per_frame_href
VIPMOD_Bit_Erosion_Detector, input, per_frame_clken
VIPMOD_Bit_Erosion_Detector, input, per_img_Bit
VIPMOD_Bit_Erosion_Detector, output, post_frame_vsync
VIPMOD_Bit_Erosion_Detector, output, post_frame_href
VIPMOD_Bit_Erosion_Detector, output, post_frame_clken
VIPMOD_Bit_Erosion_Detector, output, post_img_Bit
gray_shift, input, clk
gray_shift, input, rst_n
gray_shift, input, clken
gray_shift, input, ivsync
gray_shift, input, ihsync
gray_shift, input, graya
gray_shift, input, grayb
gray_shift, output, sdr_rd
gray_shift, output, ogray
gray_shift, output, ovsync
gray_shift, output, ohsync
gray_shift, output, oclken
Gray_Shift, input, clk
Gray_Shift, input, rst_n
Gray_Shift, input, clken
Gray_Shift, input, ivsync
Gray_Shift, input, ihsync
Gray_Shift, input, graya
Gray_Shift, input, grayb
Gray_Shift, output, sdr_rd
Gray_Shift, output, ogray
Gray_Shift, output, ovsync
Gray_Shift, output, ohsync
Gray_Shift, output, oclken
rgb2ycbcr, input, clk
rgb2ycbcr, input, i_r_8b
rgb2ycbcr, input, i_g_8b
rgb2ycbcr, input, i_b_8b
rgb2ycbcr, input, i_h_sync
rgb2ycbcr, input, i_v_sync
rgb2ycbcr, input, i_data_en
rgb2ycbcr, output, o_y_8b
rgb2ycbcr, output, o_cb_8b
rgb2ycbcr, output, o_cr_8b
rgb2ycbcr, output, o_h_sync
rgb2ycbcr, output, o_v_sync
rgb2ycbcr, output, o_data_en
eth_top, input, reset_p
eth_top, input, clk
eth_top, input, data_i
eth_top, input, data_valid_i
eth_top, input, eth_txfifo_rd_clk
fifo_data, input, aclr
fifo_data, input, rdclk
fifo_data, input, wrclk
fifo_data, input, data
fifo_data, input, rdreq
fifo_data, input, wrreq
fifo_data, output, q
fifo_data, output, rdusedw
fifo_data, output, wrusedw
clk_gen2, input, inclk0
clk_gen2, output, c3
clk_gen2, output, c4
clk_gen2, output, locked
clk_gen, input, inclk0
clk_gen, output, c0
clk_gen, output, c1
clk_gen, output, c2
clk_gen, output, c3
clk_gen, output, c4
clk_gen, output, locked
eth_tx_fifo, input, aclr
eth_tx_fifo, input, rdclk
eth_tx_fifo, input, wrclk
eth_tx_fifo, input, data
eth_tx_fifo, input, rdreq
eth_tx_fifo, input, wrreq
eth_tx_fifo, output, q
eth_tx_fifo, output, rdusedw
eth_tx_fifo, output, wrusedw
